runs_to_be_scored,balls_remaining,wickets_remaining,label,match_winner
222.0,119.0,10.0,0,0.0
221.0,119.0,10.0,0,0.0
221.0,118.0,10.0,0,0.0
220.0,117.0,10.0,0,0.0
219.0,116.0,10.0,0,0.0
219.0,115.0,10.0,0,0.0
219.0,114.0,10.0,0,0.0
219.0,113.0,9.0,0,0.0
219.0,112.0,9.0,0,0.0
215.0,111.0,9.0,0,0.0
214.0,110.0,9.0,0,0.0
214.0,109.0,9.0,0,0.0
214.0,108.0,9.0,0,0.0
214.0,107.0,9.0,0,0.0
214.0,106.0,8.0,0,0.0
213.0,105.0,8.0,0,0.0
213.0,104.0,8.0,0,0.0
212.0,104.0,8.0,0,0.0
212.0,103.0,8.0,0,0.0
211.0,102.0,8.0,0,0.0
209.0,101.0,8.0,0,0.0
208.0,100.0,8.0,0,0.0
208.0,99.0,8.0,0,0.0
207.0,98.0,8.0,0,0.0
207.0,97.0,8.0,0,0.0
207.0,96.0,8.0,0,0.0
206.0,95.0,8.0,0,0.0
205.0,94.0,8.0,0,0.0
205.0,93.0,8.0,0,0.0
199.0,92.0,8.0,0,0.0
199.0,91.0,7.0,0,0.0
199.0,90.0,7.0,0,0.0
199.0,89.0,7.0,0,0.0
199.0,88.0,6.0,0,0.0
199.0,87.0,6.0,0,0.0
198.0,86.0,6.0,0,0.0
197.0,85.0,6.0,0,0.0
197.0,84.0,6.0,0,0.0
197.0,83.0,6.0,0,0.0
197.0,82.0,6.0,0,0.0
196.0,81.0,6.0,0,0.0
195.0,81.0,6.0,0,0.0
194.0,81.0,6.0,0,0.0
194.0,80.0,6.0,0,0.0
194.0,79.0,6.0,0,0.0
190.0,78.0,6.0,0,0.0
189.0,77.0,6.0,0,0.0
188.0,76.0,6.0,0,0.0
187.0,75.0,6.0,0,0.0
185.0,74.0,6.0,0,0.0
185.0,73.0,5.0,0,0.0
185.0,72.0,5.0,0,0.0
185.0,71.0,5.0,0,0.0
185.0,70.0,4.0,0,0.0
